Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text
6317637,Le Petit Souffle,Phillipines,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City","French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent
6304287,Izakaya Kikufuji,Phillipines,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",Japanese,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent
6300002,Heat - Edsa Shangri-La,Phillipines,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good
6318506,Ooma,Phillipines,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City","Japanese, Sushi",1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent
6314302,Sambo Kojin,Phillipines,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City","Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent
18189371,Din Tai Fung,Phillipines,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",Chinese,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good
6300781,Buffet 101,Phillipines,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City","Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4,Green,Very Good
6301290,Vikings,Phillipines,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City","Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good
6300010,Spiral - Sofitel Philippine Plaza Manila,Phillipines,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City","European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent
6314987,Locavore,Phillipines,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent
6309903,Silantro Fil-Mex,Phillipines,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City","Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent
6309455,Mad Mark's Creamery & Good Eats,Phillipines,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City","American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good
6318433,Silantro Fil-Mex,Phillipines,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City","Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent
6310470,Guevarra's,Phillipines,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good
6314605,Sodam Korean Restaurant,Phillipines,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good
18185059,Cafe Arabelle,Phillipines,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa","Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good
18182702,Nonna's Pasta & Pizzeria,Phillipines,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa","Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4,Green,Very Good
6318213,Balay Dako,Phillipines,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent
18255654,Hobing Korean Dessert Cafe,Phillipines,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City","Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent
6308205,Wildflour Cafe + Bakery,Phillipines,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City","Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good
6315438,NIU by Vikings,Phillipines,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City","Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent
6310406,The Food Hall by Todd English,Phillipines,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City","American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent
17284404,Austin's BBQ and Oyster Bar,United States,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany","BBQ, Burger, Seafood",25,Dollar,No,No,No,No,2,3.3,Orange,Average
17284203,BJ's Country Buffet,United States,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","American, BBQ",10,Dollar,No,No,No,No,1,3.3,Orange,Average
17284105,Cookie Shoppe,United States,Albany,"115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",,0,Dollar,No,No,No,No,1,3.4,Orange,Average
17284302,El Vaquero Mexican Restaurant,United States,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",Mexican,0,Dollar,No,No,No,No,1,3.4,Orange,Average
17284397,Elements Coffee Co - Northwest,United States,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany","Coffee and Tea, Sandwich",10,Dollar,No,No,No,No,1,3.4,Orange,Average
17284211,Pearly's Famous Country Cookng,United States,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany",,0,Dollar,No,No,No,No,1,3.4,Orange,Average
17284094,Chick-fil-A,United States,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",Fast Food,10,Dollar,No,No,No,No,1,3.5,Yellow,Good
17284409,Guang Zhou Chinese Restaurant,United States,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","Asian, Chinese, Vegetarian",10,Dollar,No,No,No,No,1,3.9,Yellow,Good
17284139,Harvest Moon,United States,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,"Albany, Albany","Pizza, Bar Food, Sandwich",25,Dollar,No,No,No,No,2,3.7,Yellow,Good
17284403,Henry Campbell's Steakhouse,United States,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","Steak, Tapas, Bar Food",70,Dollar,No,No,No,No,4,3.5,Yellow,Good
17284145,Hong Kong Cafe,United States,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","Chinese, Seafood, Vegetarian",25,Dollar,No,No,No,No,2,3.6,Yellow,Good
17284150,House of China Restaurant II,United States,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,"Albany, Albany",Chinese,10,Dollar,No,No,No,No,1,3.8,Yellow,Good
17284158,Jimmie's Hot Dogs,United States,Albany,"204 S Jackson St, Albany, GA 31701",Albany,"Albany, Albany",,10,Dollar,No,No,No,No,1,3.9,Yellow,Good
17284175,Locos Grill & Pub,United States,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","American, Burger, Sandwich",25,Dollar,No,No,No,No,2,3.5,Yellow,Good
17284179,Longhorn Steakhouse,United States,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","American, Steak",25,Dollar,No,No,No,No,2,3.5,Yellow,Good
17284197,Mikata Japanese Steakhouse,United States,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","Japanese, Steak, Sushi",40,Dollar,No,No,No,No,3,3.6,Yellow,Good
17284241,Shogun Japanese Steak House,United States,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","Japanese, Steak, Sushi",40,Dollar,No,No,No,No,3,3.5,Yellow,Good
17284390,The Catch Seafood Room & Oyster Bar,United States,Albany,"2332 Whispering Pines Road, Albany, GA 31707",Albany,"Albany, Albany","Seafood, Tapas, Bar Food",40,Dollar,No,No,No,No,3,3.8,Yellow,Good
17284279,Villa Gargano,United States,Albany,"1604 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany","Italian, Pizza",10,Dollar,No,No,No,No,1,3.7,Yellow,Good
17284364,3 Squares Diner,United States,Albany,"202 W Franklin St, Sylvester, GA 31791",Sylvester,"Sylvester, Albany","American, Breakfast, Diner",10,Dollar,No,No,No,No,1,3.4,Orange,Average
16611114,Whitebull Hotel,United States,Armidale,"117 Marsh St, Armidale, NSW",Armidale,"Armidale, Armidale","Bar Food, Steak",20,Dollar,No,No,No,No,2,3.5,Yellow,Good
17293281,Last Resort Grill,United States,Athens,"184 W Clayton St, Athens, GA 30601",Athens,"Athens, Athens","American, Southern, Southwestern",40,Dollar,No,No,No,No,3,4.5,Dark Green,Excellent
17293301,Mama's Boy Restaurant,United States,Athens,"197 Oak St, GA 30601",Athens,"Athens, Athens",Southern,10,Dollar,No,No,No,No,1,4.5,Dark Green,Excellent
17293409,Sr. Sol 1,United States,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,"Athens, Athens",Mexican,10,Dollar,No,No,No,No,1,4.6,Dark Green,Excellent
17293163,Choo Choo Eastside,United States,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,"Athens, Athens","Japanese, Korean",10,Dollar,No,No,No,No,1,3.9,Yellow,Good
17293228,The Grill,United States,Athens,"171 College Ave, Athens, GA 30601",Athens,"Athens, Athens","Breakfast, Burger, Sandwich",10,Dollar,No,No,No,No,1,3.7,Yellow,Good
17293880,Big City Bread Cafe,United States,Athens,"393 N Finley St, Athens, GA 30601",Athens,"Athens, Athens","Breakfast, Sandwich",10,Dollar,No,No,No,No,1,4.3,Green,Very Good
17293169,Clocked,United States,Athens,"259 W Washington St, Athens, GA 30601",Athens,"Athens, Athens","American, Burger, Sandwich",10,Dollar,No,No,No,No,1,4.2,Green,Very Good
17293186,DePalma's Italian Cafe - Downtown,United States,Athens,"401 E Broad St, Athens, GA 30601",Athens,"Athens, Athens","American, Italian, Pizza",25,Dollar,No,No,No,No,2,4,Green,Very Good
17293180,DePalma's Italian Cafe - East Side,United States,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,"Athens, Athens","American, Italian, Pizza",25,Dollar,No,No,No,No,2,4.1,Green,Very Good
17293205,Five & Ten,United States,Athens,"1073 South Milledge Ave, Athens, GA 30605",Athens,"Athens, Athens",American,40,Dollar,No,No,No,No,3,4.3,Green,Very Good
17293229,Grit,United States,Athens,"199 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens","International, Southern, Vegetarian",10,Dollar,No,No,No,No,1,4.2,Green,Very Good
17293897,Ike & Jane,United States,Athens,"1307 Prince Ave, Athens, GA 30606",Athens,"Athens, Athens",Sandwich,10,Dollar,No,No,No,No,1,4.1,Green,Very Good
17293273,La Dolce Vita Ristorante,United States,Athens,"323 E Broad St, Athens, GA 30601",Athens,"Athens, Athens",Italian,40,Dollar,No,No,No,No,3,4.1,Green,Very Good
17293870,Shokitini,United States,Athens,"251 W Clayton St, Athens, GA 30601",Athens,"Athens, Athens","Asian, Japanese, Sushi",25,Dollar,No,No,No,No,2,4.2,Green,Very Good
17293877,Taqueria Del Sol,United States,Athens,"334 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens","Mexican, Spanish",10,Dollar,No,No,No,No,1,4.1,Green,Very Good
17293890,The National,United States,Athens,"232 W. Hancock Ave., Athens, GA 30601",Athens,"Athens, Athens","International, Southern",40,Dollar,No,No,No,No,3,4.1,Green,Very Good
17293915,The Royal Peasant,United States,Athens,"1675 S. Lumpkin St., Athens, GA 30606",Athens,"Athens, Athens",Bar Food,10,Dollar,No,No,No,No,1,4.4,Green,Very Good
17293422,Transmetropolitan,United States,Athens,"145 E Clayton St, Athens, GA 30601",Athens,"Athens, Athens","Italian, Pizza, Sandwich",10,Dollar,No,No,No,No,1,4.4,Green,Very Good
17293873,Trappeze Pub,United States,Athens,"269 N Hull St, Athens, GA 30601",Athens,"Athens, Athens","Burger, Bar Food",25,Dollar,No,No,No,No,2,4.2,Green,Very Good
17294014,-,United States,Athens,"247 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens","Desserts, Latin American, Argentine",10,Dollar,No,No,No,No,1,4.1,Green,Very Good
17294556,Miyabi Kyoto Japanese Steak House,United States,Augusta,"1315 Augusta West Pkwy, Augusta, GA 30909",Augusta,"Augusta, Augusta","Chinese, Steak",40,Dollar,No,No,No,No,3,4.6,Dark Green,Excellent
17294607,Rae's Coastal Cafe,United States,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",Augusta,"Augusta, Augusta","American, Caribbean, Seafood",40,Dollar,No,No,No,No,3,4.9,Dark Green,Excellent
17294279,The Bee's Knees,United States,Augusta,"211 10th Street, Augusta, GA 30901",Augusta,"Augusta, Augusta","International, Tapas, Vegetarian",25,Dollar,No,No,No,No,2,4.5,Dark Green,Excellent
17294300,Boll Weevil Cafe,United States,Augusta,"10 9th St, Augusta, GA 30901",Augusta,"Augusta, Augusta","Desserts, Sandwich, Southern",10,Dollar,No,No,No,No,1,3.9,Yellow,Good
17295215,Farmhaus Burger,United States,Augusta,"1204 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta","American, Burger",25,Dollar,No,No,No,No,2,3.9,Yellow,Good
17295028,Manuel's Bread Cafe,United States,Augusta,"505 Railroad Ave, North Augusta, GA 29841",Augusta,"Augusta, Augusta","Breakfast, French",40,Dollar,No,No,No,No,3,3.8,Yellow,Good
17294642,Sconyers Bar B Que,United States,Augusta,"2250 Sconyers Way, Augusta, GA 30906",Augusta,"Augusta, Augusta",BBQ,25,Dollar,No,No,No,No,2,3.5,Yellow,Good
17295109,Frog Hollow Tavern,United States,Augusta,"1282 broad street, Augusta, GA 30901",Augusta,"Augusta, Augusta",American,40,Dollar,No,No,No,No,3,4.3,Green,Very Good
17294441,Giuseppe's Pizza & Italian Specialities,United States,Augusta,"3690 Wheeler Rd, Augusta, GA 30909",Augusta,"Augusta, Augusta","Desserts, Italian, Pizza",25,Dollar,No,No,No,No,2,4.1,Green,Very Good
17294552,Mellow Mushroom,United States,Augusta,"1167 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta","Italian, Pizza, Sandwich",25,Dollar,No,No,No,No,2,4.4,Green,Very Good
17294565,Nacho Mamas Burritos,United States,Augusta,"976 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta",Mexican,10,Dollar,No,No,No,No,1,4,Green,Very Good
17294623,Rhinehart's Oyster Bar,United States,Augusta,"3051 Washington Rd, Augusta, GA 30907",Augusta,"Augusta, Augusta","Bar Food, Sandwich, Seafood",25,Dollar,No,No,No,No,2,4,Green,Very Good
17294712,Takosushi,United States,Augusta,"437 Highland Ave, Augusta, GA 30909",Augusta,"Augusta, Augusta","Mexican, Southwestern, Sushi",40,Dollar,No,No,No,No,3,4.2,Green,Very Good
17295033,The Chop House,United States,Augusta,"Augusta Mall, Augusta, GA 30909",Augusta,"Augusta, Augusta",Steak,40,Dollar,No,No,No,No,3,4,Green,Very Good
17295069,The Taj of India,United States,Augusta,"502 Furys Ferry Rd, Augusta, GA 30907",Augusta,"Augusta, Augusta",Indian,25,Dollar,No,No,No,No,2,4,Green,Very Good
17294261,Augsburg Haus,United States,Augusta,"4460 Washington Road, Evans, GA 30809",Evans,"Evans, Augusta",German,25,Dollar,No,No,No,No,2,3.9,Yellow,Good
17295115,Pho Bac,United States,Augusta,"4300 Towne Centre, Evans, GA 30809",Evans,"Evans, Augusta",Vietnamese,10,Dollar,No,No,No,No,1,4.1,Green,Very Good
17294836,Rhinehart's Oyster Bar,United States,Augusta,"303 North Bel Air Rd, Evans, GA 30809",Evans,"Evans, Augusta","Burger, Seafood",25,Dollar,No,No,No,No,2,4,Green,Very Good
17294850,Thai Kitchen,United States,Augusta,"4357 Washington Road, Evans, GA 30809",Evans,"Evans, Augusta",Thai,35,Dollar,No,No,No,No,3,4.3,Green,Very Good
17294883,El Kiosco Mexican Restaurant,United States,Augusta,"5174 Wrightsboro Rd, Grovetown, GA 30813",Grovetown,"Grovetown, Augusta",Mexican,10,Dollar,No,No,No,No,1,4.2,Green,Very Good
16608864,Taste of Balingup,United States,Balingup,"63 South Western Hwy, Balingup, WA",Balingup,"Balingup, Balingup",Modern Australian,20,Dollar,No,No,No,No,2,3.2,Orange,Average
16604911,Bridge Road Brewers,United States,Beechworth,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC",Beechworth,"Beechworth, Beechworth","Pizza, Bar Food",20,Dollar,No,No,No,No,2,4.6,Dark Green,Excellent
17303465,Bardenay,United States,Boise,"610 W Grove St, Boise, ID 83702",Boise,"Boise, Boise","American, Bar Food",25,Dollar,No,No,No,No,2,4.5,Dark Green,Excellent
17303642,Flatbread Neapolitan Pizzeria,United States,Boise,"800 W Main Suite 230, Boise, ID 83702",Boise,"Boise, Boise","Italian, Pizza",25,Dollar,No,No,No,No,2,4.6,Dark Green,Excellent
17303670,Goldy's Breakfast Bistro,United States,Boise,"108 S Capitol Blvd, Boise, ID 83702",Boise,"Boise, Boise","Breakfast, Sandwich",25,Dollar,No,No,No,No,2,4.5,Dark Green,Excellent
17303545,Chandlers Steakhouse,United States,Boise,"981 W Grove St, Boise, ID 83702",Boise,"Boise, Boise","American, Seafood, Steak",70,Dollar,No,No,No,No,4,3.9,Yellow,Good
17303655,Bar Gernika Basque Pub & Eatery,United States,Boise,"202 S Capitol Blvd, Boise, ID 83702",Boise,"Boise, Boise","European, Spanish",10,Dollar,No,No,No,No,1,4.3,Green,Very Good
17304691,Barbacoa Restaurant,United States,Boise,"276 Bobwhite Ct, Boise, ID 83706",Boise,"Boise, Boise","Latin American, Steak",70,Dollar,No,No,No,No,4,4.1,Green,Very Good
17303478,Big Jud's,United States,Boise,"1289 Protest Rd, Boise, ID 83706",Boise,"Boise, Boise","American, Burger, Sandwich",10,Dollar,No,No,No,No,1,4.2,Green,Very Good
17303480,Bittercreek Ale House,United States,Boise,"246 N 8th St, Boise, ID 83702",Boise,"Boise, Boise","American, Bar Food",25,Dollar,No,No,No,No,2,4.3,Green,Very Good
17304733,Boise Fry Company,United States,Boise,"204 N Capitol Blvd, Boise, ID 83702",Boise,"Boise, Boise","American, Burger",10,Dollar,No,No,No,No,1,4.4,Green,Very Good
17303646,Flying Pie Pizzaria,United States,Boise,"6508 W Fairview Ave, Boise, ID 83704",Boise,"Boise, Boise",Pizza,25,Dollar,No,No,No,No,2,4.1,Green,Very Good
17304929,Fork,United States,Boise,"199 N 8th St, Boise, ID 83702",Boise,"Boise, Boise","American, Burger",25,Dollar,No,No,No,No,2,4.4,Green,Very Good
17303684,Guido's Original New York Style Pizza,United States,Boise,"235 N 5th St, Boise, ID 83702",Boise,"Boise, Boise",Pizza,10,Dollar,No,No,No,No,1,4.3,Green,Very Good
17303772,Los Beto's,United States,Boise,"5220 W Fairview Ave, Boise, ID 83706",Boise,"Boise, Boise",Mexican,10,Dollar,No,No,No,No,1,4.4,Green,Very Good
17305123,Lucianos Italian Restaurant,United States,Boise,"11 N Orchard St, Boise, ID 83706",Boise,"Boise, Boise","Italian, Seafood, Vegetarian",25,Dollar,No,No,No,No,2,4.4,Green,Very Good
17303787,Mai Thai Restaurant,United States,Boise,"750 W Idaho St, Boise, ID 83702",Boise,"Boise, Boise","Sushi, Thai",40,Dollar,No,No,No,No,3,4,Green,Very Good
17303990,Shige Japanese Cuisine,United States,Boise,"100 N 8th St, Boise, ID 83702",Boise,"Boise, Boise","Japanese, Sushi, Teriyaki",25,Dollar,No,No,No,No,2,4.1,Green,Very Good
17304741,The Egg Factory,United States,Boise,"8061 W Fairview Ave, Boise, ID 83704",Boise,"Boise, Boise",Breakfast,10,Dollar,No,No,No,No,1,4.3,Green,Very Good
17304726,Tucanos,United States,Boise,"1388 S Entertainment Ave, Boise, ID 83709",Boise,"Boise, Boise",Brazilian,40,Dollar,No,No,No,No,3,4,Green,Very Good
17304486,Texas Roadhouse,United States,Boise,"3801 E Fairview Avenue, Meridian, Boise, ID 83642",Meridian,"Meridian, Boise","American, BBQ, Steak",25,Dollar,No,No,No,No,2,4,Green,Very Good
17304533,Brick 29,United States,Boise,"320 11th Avenue S, Nampa, ID 83651",Nampa,"Nampa, Boise",American,40,Dollar,No,No,No,No,3,4.4,Green,Very Good
17316233,Winifreds,United States,Cedar Rapids/Iowa City,"3847 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City","American, Mediterranean, Seafood",40,Dollar,No,No,No,No,3,3.7,Yellow,Good
17315883,Biaggi's Ristorante Italiano,United States,Cedar Rapids/Iowa City,"320 Collins Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City","Italian, Pizza",40,Dollar,No,No,No,No,3,4.1,Green,Very Good
17315995,El Super Burrito,United States,Cedar Rapids/Iowa City,"3300 Johnson Ave NW, Cedar Rapids, IA 52405",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",Mexican,10,Dollar,No,No,No,No,1,4.1,Green,Very Good
17316018,Granite City Food & Brewery,United States,Cedar Rapids/Iowa City,"4755 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City","American, Breakfast, Burger",40,Dollar,No,No,No,No,3,4.1,Green,Very Good
17316038,Irish Democrat,United States,Cedar Rapids/Iowa City,"3207 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City","American, BBQ, Burger",25,Dollar,No,No,No,No,2,4.4,Green,Very Good
17316771,Taste of India,United States,Cedar Rapids/Iowa City,"1060 Old Marion Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",Indian,25,Dollar,No,No,No,No,2,4.2,Green,Very Good
17316201,Thai Moon Restaurant,United States,Cedar Rapids/Iowa City,"4362 16th Ave SW, Cedar Rapids, IA 52404",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City","Chinese, Sushi, Thai",10,Dollar,No,No,No,No,1,4.2,Green,Very Good
17316208,Ting's Red Lantern,United States,Cedar Rapids/Iowa City,"540 Boyson Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",Chinese,10,Dollar,No,No,No,No,1,4.2,Green,Very Good
17316389,Monica's,United States,Cedar Rapids/Iowa City,"303 2nd Street, Coralville, IA 52241",Coralville,"Coralville, Cedar Rapids/Iowa City","American, Italian, Pizza",25,Dollar,No,No,No,No,2,3.8,Yellow,Good
17316278,Exotic India,United States,Cedar Rapids/Iowa City,"102 2nd Ave, Coralville, IA 52241",Coralville,"Coralville, Cedar Rapids/Iowa City",Indian,25,Dollar,No,No,No,No,2,4.1,Green,Very Good
17316744,Shorts Burger and Shine,United States,Cedar Rapids/Iowa City,"18 S Clinton St, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",Burger,10,Dollar,No,No,No,No,1,4.9,Dark Green,Excellent
17316751,The Hamburg Inn No. 2 Inc.,United States,Cedar Rapids/Iowa City,"214 N Linn St, Iowa City, IA 52245",Iowa City,"Iowa City, Cedar Rapids/Iowa City","American, Breakfast, Burger",10,Dollar,No,No,No,No,1,4.5,Dark Green,Excellent
17316766,Bluebird Diner,United States,Cedar Rapids/Iowa City,"330 E Market St, Iowa City, IA 52245",Iowa City,"Iowa City, Cedar Rapids/Iowa City","Breakfast, Diner",25,Dollar,No,No,No,No,2,3.6,Yellow,Good
17316743,Graze,United States,Cedar Rapids/Iowa City,"115 East College St, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City","American, International, Sushi",40,Dollar,No,No,No,No,3,3.8,Yellow,Good
17316374,A & A Pagliai's Pizza,United States,Cedar Rapids/Iowa City,"302 E Bloomington St, Iowa City, IA 52245",Iowa City,"Iowa City, Cedar Rapids/Iowa City",Pizza,25,Dollar,No,No,No,No,2,4.3,Green,Very Good
17316381,Atlas World Grill,United States,Cedar Rapids/Iowa City,"127 Iowa Ave, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",International,40,Dollar,No,No,No,No,3,4.3,Green,Very Good
17316802,BlackStone,United States,Cedar Rapids/Iowa City,"503 Westbury Dr Ste 1, Iowa City, IA 52245",Iowa City,"Iowa City, Cedar Rapids/Iowa City","American, Breakfast",25,Dollar,No,No,No,No,2,4.1,Green,Very Good
17316416,Devotay,United States,Cedar Rapids/Iowa City,"117 N Linn St, Iowa City, IA 52245",Iowa City,"Iowa City, Cedar Rapids/Iowa City","Mediterranean, Tapas, Vegetarian",40,Dollar,No,No,No,No,3,4,Green,Very Good
17316449,Jimmy Jack's Rib Shack,United States,Cedar Rapids/Iowa City,"1940 Lower Muscatine Rd, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",BBQ,25,Dollar,No,No,No,No,2,4.2,Green,Very Good
